,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
636,Jr. Data Analyst (Jr. DA),$42K-$66K (Glassdoor est.),"**In order to submit your application you must take an assessment test and upload your resume through HireSelect: https://www.ondemandassessment.com/link/index/JB-9EZI3260T?u=1006516**

Prime MSO is a leading medical facility management organization. We own and operate multiple surgical facilities and multiple clinics throughout the greater Los Angeles, Orange County, and South Bay areas, with a corporate office located in the heart of Downtown Glendale, California.

A Data Analyst will retrieve and gather data, organize it and use it to reach meaningful conclusions.

Principle Duties and Responsibilities
Producing Reports - A significant amount of the data analyst’s time will be spent producing and maintaining both internal and client-facing reports. A Successful data analyst understand how to create narratives with data that would be understood by the next decision-maker.
Spotting Patterns - Effective data analysts are able to use data to tell a story. In order to produce a meaningful report, a data analyst first has to be able to see important patterns in the data. At the base level, data is used to find trends and insights that can be used to make recommendations.

3. Collaborating with Others - The wide variety of data analyst roles and responsibilities means you’ll collaborate across many other departments in the organization including marketers, executives, and salespeople. You’ll also likely collaborate closely with those who work in data science like data database developers. Being able to communicate well is important. Your success is dependent on your ability to work with people—the people you are gathering the research questions from, peers you collaborate with to execute the work and the people you deliver the final presentation to.
Collecting Data and Setting Up Infrastructure - Streamlining this data collection is key for data analysts. They work to develop routines that can be automated and easily modified for reuse in other areas. Data Analysts will keep a handful of specialized software and tools in their arsenal to help them accomplish this:
Microsoft Excel
Microsoft SQL
Tableau
Microsoft Power BI
SAS software
Google Analytics
Google Tag Manager
Google AdWords
5. Data Analytics – At its core, data analytics is about answering questions and making decisions. You will be assigned senecios that may require the following types of analytics and it is your responsibility to tailor your work and solution to fit the scenario.
Descriptive analytics answers, “What happened?”
Diagnostic analytics answers, “Why did something happen?”
Predictive analytics answers, “What is likely to happen?”
Prescriptive analytics answers, “What action should be taken?”
Skill Qualifications
Have moderate to strong math and statistical skills
Have a strong business acumen
Have moderate to strong computer science / coding skills
Good ability to Develop key performance indicators
Good ability to Create visualizations of the data
Good ability to Utilize business intelligence and analytics tools
Good ability to Make predictions based on data trends a plus
Good ability to Write code to assist in data analysis a plus
Good ability to Identify trends with machine learning a plus
Experience
Data related work: 2+ years (Preferred)
Excel Knowledge (Required)
SQL Knowledge (Required)
Education
Bachelor's or equivalent experience (Required)
**In order to submit your application you must take an assessment test and upload your resume through HireSelect: https://www.ondemandassessment.com/link/index/JB-9EZI3260T?u=1006516**

Job Type: Full-time

Pay: $38,000.00 - $60,000.00 per year

Benefits:
Health Insurance
Parental Leave
Vision Insurance
Schedule:
Monday to Friday
Experience:
Excel: 1 year (Required)
SQL: 1 year (Required)
Data Analysis: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Location:
Glendale, CA 91203 (Preferred)",4.0,"Prime MSO, LLC.
4.0","Glendale, CA","Dayton, OH",1 to 50 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,-1
637,Sr. Business Data Analyst,$42K-$66K (Glassdoor est.),"KORE1, a nationwide provider of staffing and recruiting solutions, has an immediate opening for a Sr. Business Data Analyst with our client in Santa Monica. This position will be remote until further notice. Primary Responsibilities: -Reporting & Analysis - Enable effective decision making by retrieving and aggregating data from multiple sources, identifying key indicators and actionable insights, and effectively communicating the most important information to drive decisions. Design, develop, and evaluate recurring and ad hoc reporting / dashboards to drive and monitor the business and our products using best practices in data visualization and reporting tools, including Tableau, DataStudio, Power BI or similar. -Process Documentation - Work with various functions and end users to identify, document, and communicate standard business processes. -Project Management - Produce detailed business requirements, coordinate and manage user acceptance test plans, and participate in stakeholder management. -Problem Solving - Demonstrate good judgment in solving problems as well as identifying problems and possible mitigation plans in advance. Strong desire and ability to dive deep into a given problem statement. -Subject Matter Expert - Develop deep knowledge of related sub brands data architecture, system map and relation to product/feature use by customers. Act as a trusted adviser to internal stakeholders by sharing best practices and requirements for optimal use of these systems and data. Required Qualifications: -Bachelor’s degree -5+ years of relevant professional experience as a Business Analyst, Data Analyst, or related role -Expert in SQL -Experience with data visualization and reporting tools like Tableau, DataStudio, PowerBI -Strong business analysis and functional experience, including requirements gathering, creating/deploying solutions to end users, writing user acceptance test scripts and facilitating UAT sessions -Proven ability to manage multiple, competing priorities simultaneously and work well in an ambiguous and dynamic environment. -Ability to use data to develop insights, recommendations, and business cases -Excellent written and oral communication skills, including translating findings into compelling recommendations, polished deliverables, and actionable solutions. -Ability to partner with and communicate across business functions, -Excellent problem-solving skills -Willingness to roll up your sleeves and do whatever is necessary Preferred Qualifications: -Proven ability to communicate with business and technical audiences at all levels, including demonstrated success influencing senior leaders and decision makers -Demonstrated ability to dive deep in understanding our business, projects, and opportunities to improve the outcomes of our largest strategic projects and programs -Experience with open source data scripting languages (Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab) -Experience with data mining and analytics techniques ABOUT KORE1 Specializing in creative and technical recruiting, KORE1 is committed to supporting top IT and Creative professionals in their career paths. We build deep relationships with leading companies, connecting them to exceptional talent every day. With extensive industry expertise and unmatched opportunities, our goal is to provide a unique experience for our contractors and consultants as they prepare for their next role. We are passionate about matching the right people with the right companies. Kore1 provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Kore1 complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Kore1 expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status.Improper interference with the ability of Kore1's employees to perform their job duties may result in discipline up to and including discharge.",4.9,"KORE1 Technologies
4.9","Santa Monica, CA","Irvine, CA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),"CyberCoders, Kforce, ASGN Incorporated",-1
638,Data Reporting Analyst,$42K-$66K (Glassdoor est.),"""This role is currently work-from-home and will move to the office environment after the COVID-19 restrictions are lifted.”
12 Month Contract

Experience:
• Strong technical background to run SQL and XLS reports
• Fast learner, Accurate and strong attention to detail
• Excellent analytical and organization skills
• Demonstrated ability to work independently and as part of a team
• Ability to handle multiple project deliverables in a fast-paced environment
• Excellent verbal and written communication skills
• A drive for accuracy with an Agile and end-to-end continuous process improvement approach
• A Plus: Experience in Banking and Finance preferred

Projects to include:
• Running SQL and XLS reporting and metrics on a daily, weekly, and monthly basis
• Updating reporting with new data feeds and/or edits to structure of reports",3.6,"Axelon Services Corporation
3.6","Pasadena, CA","New York, NY",501 to 1000 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
639,Pricing Data Analyst,$42K-$66K (Glassdoor est.),"WHAT IS THE OPPORTUNITY?Key member of the commercial pricing and profitability team responsible for managing pricing and profitability data. Develops and maintains management reporting and supporting process. Collaborates with internal business partners on developing business insights.WHAT WILL YOU DO?* Develop data models, build and manage databases to capture, store, report on and analyze large arrays of pricing and profitability data* Develop analytical reports to inform management decisions; establish and manage efficient reporting processes* Collaborate with Pricing Team and Business partners to gather requirements for data models, analysis and reporting* Perform analysis of data to identify trends and patterns* Participate in development of pricing models and pricing toolsWHAT DO YOU NEED TO SUCCEEDMust-Have** Bachelor's Degree Business, Finance, Economics or Quantitative Sciences* 5+ years of experience in data modeling, reporting and analysis* 3+ years in financial servicesSkills and Knowledge* Financial and business acumen* Understanding of financial products* Proficient with MS Office suite and expert knowledge of data management tools (SQL, Tableau, MS Access)* Strong verbal and written communication. Collaboration skills and team player* Quick learner* To be considered for this position you must meet at least these basic qualificationsThe preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.INCLUSION AND EQUAL OPPORTUNITY EMPLOYMENTCity National Bank is an equal opportunity employer committed to diversity and inclusion. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or any other basis protected by law.ABOUT CITY NATIONALWe start with a basic premise: Business is personal. Since day one we've always gone further than the competition to help our clients, colleagues and community flourish. City National Bank was founded in 1954 by entrepreneurs for entrepreneurs and that legacy of integrity, community and unparalleled client relationships continues to drive phenomenal growth today. City National is a subsidiary of Royal Bank of Canada, one of North America's leading diversified financial services companies.#CA-TT1#LI-TT1Equal Opportunity Empl",3.6,"City National Corporation
3.6","Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"East West Bank, Bank of the West, First Republic Bank",-1
640,Senior Data Engineer & Analyst,$42K-$66K (Glassdoor est.),"Job Title: Senior Data Engineer & Analyst

Location: Pasadena, CA (Preferably West Coast Cnsultant as customer is in California and resource will need to work in their office hours)

Duration: Long Term Contract

Â

Skills:
8+ years of overall IT experience
Experienced in SQL, SSRS and T-SQL
Have good experience on creating and maintaining a Data Warehouse
Good experience in ETL Design, monitoring and development
Good with PowerBI; demonstratable advance skills in creating Complex reports in PowerBI
Should be able to troubleshoot and fix issues with any report or ETL job in production environments",5.0,"Pddn
5.0","Pasadena, CA","Fremont, CA",51 to 200 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Less than $1 million (USD),-1,-1
641,Principal Data Management Analyst,$42K-$66K (Glassdoor est.),"Northrop Grumman manufactures some of the world’s most technically advanced products. Our manufacturing plants are highly-automated, cutting-edge centers of excellence where employees leverage the latest technology, including the strategic use of automation, 3-D printing and robotics. There are a myriad of job functions associated with the manufacture of our products that range from machinists, engineers, operation program managers, and quality inspectors.

Our mission is to deliver differentiated value to our programs, by manufacturing products with the highest possible quality at the most affordable rate. Search our current job openings and join us to be at the front line of innovation.

The Test Equipment Planning & Sustainment team at Northrop Grumman Mission Systems (NGMS) is looking for you to join our team as a Principal Data Mananagement Analyst based out of Woodland Hills, CA.

What You’ll get to Do:

Contract Deliverables Data Management

• Work and interact with a wide variety of engineering, program management, and technical disciplines, which may include interface with Government Customer base as well as Contract Data Requirement List (CDRL) authors to ensure accurate CDRL scheduling.
• Review contracts to determine data item deliverables, schedules data items, manages data item schedules, creates Data Management Plans, Communicates Data Delivery schedule to data package providers, and delivers SDRL/CDRL Data to the customer.

CDRL Processing

• Distribute new contract schedules to inform Program Managers and CDRL Authors of CDRL delivery requirements for duration of program.
• Generate latest status report to CDRL Author, Director of Contracts, and applicable Program Manager when dates are missed.
• Deliver CDRL to any number of forums, such as SharePoint, classified network, DoD (Department of Defense) Safe, SIPRNET, and NG Safe.
• CDRL Reports to include: Create and distribute monthly CDRL reports (30/60/90 day look ahead) for CDRL authors and program office. Create and distribute weekly reports to obtain CDRL status and track for One Time Delivery (OTD). Create and distribute monthly report to convey OTD metrics.

Other secondary assignments

• Review engineering documentation, reports, specifications, and drawings to determine documentation and material requirements, ensure compliance with engineering specifications, and to ensure engineering orders reflect latest requirements.
• Analyze proposed changes in product design to determine effect on documents such as drawings, test specifications, manuals, and ensures all documents have required approvals.
• Compile release packages ensuring all documentation is present.
• Notify appropriate departments of any new or updated data.
• Maintain audit trails.
• Research and resolve inconsistencies with design, production, material, or program office.

MANUMS

Basic Qualifications:

• Bachelor’s Degree in Business, Management or related discipline with 6 years of experience, or Master’s degree with 4 years of experience.
• Proficiency in Microsoft Office.
• Possess Data Management and CDRL training or experience on defense programs.
• Ability to obtain and maintain a US Government DoD secret clearance within a timeframe set forth by management.

Preferred Qualifications:

• Knowledge of Data Management and CDRL processing.
• Proficiency with product lifecycle management system.
• Understanding of Team-center Enterprise or Team-center Unified Architecture.
• DoD Active SECRET clearance.
• Specific training in configuration management through certificated program a bonus.
• Demonstrated understanding of general configuration management concepts, practices, and processes.
• Understanding of Configuration Management standards such as EIA-649 or MIL-HDBK-61A and ability to read and understand program contracts is essential in providing appropriate program support.
• Knowledge of AS-9100 and CMMI Level 3 processes.

What We Can Offer You:

Northrop Grumman provides a comprehensive benefits package and a work environment that encourages your growth and supports the mutual success of our people and our company. Northrop Grumman benefits give you the flexibility and control to choose the benefits that make the most sense for you and your family. Your package will include the following:

• Health Plan
• Savings Plan
• Paid Time Off
• Additional benefits
o Education Assistance
o Training and Development

https://benefits.northropgrumman.com/us/en2/BenefitsOverview/Pages/default.aspx

Additional Northrop Grumman Information:

Northrop Grumman has approximately 85,000 employees in all 50 states and in more than 25 countries, we strive to attract and retain the best employees by providing an inclusive work environment wherein employees are receptive to diverse ideas, perspectives and talents to help solve our toughest customer challenges: to develop and maintain some of the most technically sophisticated products, programs and services in the world.

Our Values. The women and men of Northrop Grumman Corporation are guided by Our Values. They describe our company as we want it to be. We want our decisions and actions to demonstrate these Values. We believe that putting Our Values into practice creates long-term benefits for shareholders, customers, employees, suppliers, and the communities we serve.

Our Responsibility. At Northrop Grumman, we are committed to maintaining the highest of ethical standards, embracing diversity and inclusion, protecting the environment, and striving to be an ideal corporate citizen in the community and in the world.

Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions.",3.8,"Northrop Grumman
3.8","Woodland Hills, CA","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,-1
642,Sr. Data Analyst,$42K-$66K (Glassdoor est.),"Sr. Data Analyst Location Burbank, CA Start Date Jul 20, 2020 Apply Now Sign Up For Job Alerts Email Job Refer a Friend Apply with LinkedIn Job Description Sr. Data Analyst Burbank, CA Direct Hire Compensation DOE Successful candidate will work closely with both technical and non-technical stake-holders to build, deploy and administer self-service analytics capability across the organization. In this role, you will utilize the Plans diverse analytics tools to generate meaningful insights and carry out data literacy initiatives with the goal of creating a data-driven culture across the organization. You will support organizational strategic objectives by assessing reporting and analytics asks from business partners, contribute to task backlog, building and delivering data products and self-service capability for the end users within the Plans. You will spearhead trainings to socialize curated data and self-service capabilities while continuously analyzing gaps between new business asks and available curated data worksheet. Required Skills Bachelor's Degree in Computer Science, Information Systems, or other related field as well as equivalent work experience Minimum8years of either business intelligence,data engineering, data modeling or information architectureexperience with a focus on enabling self-service analysis Minimum 8 years in a quantitative data analytics role with emphasis on data preparation and analysis Relevant experience designing and implementing business intelligence, data warehouse, owning data models and end-user handover processes Experience designing conceptual, logical and physical data modelsand maintaining data dictionaryand capturing metadata Experience creatingand maintainingautomated data pipelines, data standards,and best practices to maintainintegrity and security of the data ensure adherence to developed standards Experience in developing and maintaining source to target mapping thatincludes extract requirements,derived field logic, domain values and data lineage Experience working in an Agile environment will also help you as you manage multiple projects in a fast-moving environment Preferred Skills Previous work experience in theHealthcare industrypreferred Experience building data models for analytics and reporting projects Previous work experience with agile framework preferred Id 20-01032",4.3,"ConsultNet, LLC
4.3","Burbank, CA","South Jordan, UT",201 to 500 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,-1
643,Sr Data Analyst (DW),$42K-$66K (Glassdoor est.),"Job Description
Our client in the Los Angeles area is looking for a Data Analyst for their Database / Data Warehousing projects. Experience in hospital/healthcare domain, a plus. This is a contract-to-hire opportunity. No sponsorship offered at the moment.

Required Skills:
8+ years data analysis experience
Worked as a Data Analyst on Database / Data Warehousing projects
Strong SQL skills – a must
Healthcare domain / expertise (providers and hospitals)
Strong business analysis and documentation skills
Experience with data mapping / data profiling / data analysis
Responsibilities:
Gather and analyze business requirements
Formulate requirements for databases to be developed by the developers
Write functional and design specs
Design simple to moderately complex data models
Test and validate reports, ETL / DW
Provide support and monitor client-server applications and reporting environments
Create estimates for project plans
Location: Los Angeles, CA

Duration: 3-6 months Contract-to-Hire",4.2,"Aviana Global Technologies, Inc
4.2","Los Angeles, CA","Brea, CA",1 to 50 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),"OpenSymmetry, Perficient, DataClarity",-1
644,"Data Analyst, Product",$42K-$66K (Glassdoor est.),"As a leading mobile games developer, Jam City is looking to “level up” our talent. We’re on the hunt for innovators who consider themselves dynamic, collaborative, and thrive in a fast-paced environment.

PERKS & BENEFITS
Unlimited Vacation, Paid Sick Days & Holidays
100% Employee Covered Medical, Dental, Vision Plan Base Plan
Life Insurance, 401k, Flexible Spending Accounts, Commuter Benefits & More
Catered Lunches & Well-stocked Kitchens
Yoga & Wellness Activities
Happy Hours
Company Events
Dog Friendly
RESPONSIBILITIES
Create and implement big data solutions including data collection, transformation and analysis on large database.
Work on data collection, transformation and analysis on large databases.
Analyze data using such technology platforms as Teradata and Databricks to visualize data into reports.
Create design solutions for data warehousing across various departments.
Assist with monitoring and maintaining the company’s data infrastructure.
Create, develop and maintain data warehouse, including warehouse elements such as data architectures, tools and databases.
Design warehouse database structures.
Review, test and verify structure and quality of warehouse data.
QUALIFICATIONS
Four (4) years of data warehouse consulting, data engineering, data analytics or related experience with: database administration; development, monitoring and maintenance of data warehouses; data analysis and visualization of findings; data collection, transformation and analysis on large databases; data warehousing.
ABOUT JAM CITY
Jam City is an award-winning mobile entertainment studio providing unique and deeply engaging games that appeal to a broad, global audience.

Led by CEO Chris DeWolfe, former MySpace co-founder and CEO, and COO Josh Yguado, former 20th Century Fox executive, Jam City is the creative powerhouse behind some of the highest-grossing and most enduring mobile games. Jam City’s global franchise Cookie Jam has generated more than half a billion dollars, and Panda Pop has more than 120 million downloads to date.

The company also is the go-to studio for Hollywood, having developed immersive, narrative-rich mobile games around iconic entertainment brands. The company’s popular RPG game Harry Potter: Hogwarts Mystery was the #1 game in more than 40 countries at its launch in April 2018.

Jam City has nine studios located in Los Angeles (HQ), Berlin, Buenos Aires, Bogotá, Burbank, Cedar Falls, San Diego, San Francisco, and Toronto.",3.9,"Jam City
3.9","Culver City, CA","Los Angeles, CA",501 to 1000 employees,2010,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,-1
645,"Digital Media Data Analyst, Apple TV+",$42K-$66K (Glassdoor est.),"Posted: Jun 24, 2020
Weekly Hours: 40
Role Number:
200164872
Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. You bring passion and dedication to your job and there's no telling what you could accomplish.

Apple is in search of an experienced Digital Media Data Analyst to join the Apple Services Digital Marketing team in Culver City, California to help improve our marketing strategies for Apple TV+. As a Media Analyst you will develop compelling and actionable insights through quantitative analysis, innovative thinking, and storytelling with data. You are interested in the future of Video and Streaming services. You want to work on determining what Streaming Video content launch benchmarks are, help find strategies hit them through marketing, and all the while help to optimize evergreen marketing initiatives.

You will work closely with the analytics, media activation, and campaign strategy teams to identify reporting needs, automate recurrent requests, interpret data trends, and propose changes to improve the quality and granularity of the information that is processed. You will provide ongoing measurement guidance to better communicate concise data insights, trends and measurement strategies to broad internal audiences from technical experts to traditional brand managers and internal stakeholders.
Key Qualifications
5+ years of experience in a Data Analyst role, with emphasis on digital paid media metrics
Ability to code in SQL, Python or R
Thorough understanding of digital media metrics, both from a brand and direct response perspective - digital subscription business experience is a plus
Strong understanding of Streaming Service User Acquisition
Strong understanding of Video Streaming Service competitive landscape
Strong working knowledge of digital advertising: executional workflow, measurement, research, optimization and testing methodologies
Functional, working knowledge of digital advertising platforms such as DCM/Sizmek and media network/DSP platforms (e.g. TTD, DBM, OATH, Adobe)
Excellent written and verbal communication skills and keen ability to synthesize complex data points for audiences of varied digital media expertise
Proficiency in excel, keynote, and data visualization platforms (e.g. Tableau)
Description
You will be responsible for creating and delivering custom reporting for campaigns running through the internal media activation team, surfacing actionable insights to help inform optimization. You will also work closely with the analytics team and campaign strategy teams to ensure that all information shared in automated reporting visulization dashboards is accurate. In concert with the media activation team, you will help develop media testing and optimization plans, making measurement recommendations that correlate to campaign objectives. Beyond these ongoing responsibilities, you will also perform adhoc data analysis and maintain benchmarking media points across digital media channels.
Education & Experience
Bachelor’s degree - ideally in an analytical field such as Economics, Statistics, Mathematics, Software Engineering, Finance, Applied Sciences, etc.",4.1,"Apple
4.1","Culver City, CA","Cupertino, CA",10000+ employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Google, Microsoft, Samsung Electronics",-1
646,Data Intelligence Analyst,$42K-$66K (Glassdoor est.),"Meet REVOLVE:

REVOLVE is the next-generation fashion retailer for Millennial and Generation Z consumers. As a trusted, premium lifestyle brand, and a go-to online source for discovery and inspiration, we deliver an engaging customer experience from a vast yet curated offering totaling over 45,000 apparel, footwear, accessories and beauty styles. Our dynamic platform connects a deeply engaged community of millions of consumers, thousands of global fashion influencers, and more than 500 emerging, established and owned brands. Through 16 years of continued investment in technology, data analytics, and innovative marketing and merchandising strategies, we have built a powerful platform and brand that we believe is connecting with the next generation of consumers and is redefining fashion retail for the 21st century. For more information please visitwww.revolve.com.

At REVOLVE the most successful team members have a thirst and the creativity to make this the top e-commerce brand in the world. With a team of 1,000+ based out of Cerritos, California we are a dynamic bunch that are motivated by getting the company to the next level. Its our goal to hire high-energy, diverse, bright, creative, and flexible individuals who thrive in a fast-paced work environment. In return, we promise to keep REVOLVE a company where inspired people will always thrive.

Some of the sweetest perks we offer arent in a typical benefit package like hefty discount on items we carry as in 50% or more off retail prices, free weekly lunches, and pretty rad company parties.

To take a behind the scenes look at the REVOLVE corporate lifestyle check out our Instagram @REVOLVEcareers or #lifeatrevolve.

Main purpose of the position:

The Data Intelligence Analyst plays a critical role in actively building, upgrading, and maintaining the data-centric nucleus of the Buying and Merchandising arm of REVOLVE headquarters. This position partners with a multitude of end-users ranging the spectrum all the way from Buyers up to Executives in order to keep us on the cutting edge of Fashion Retail by developing world class proprietary tools and internal processes.

The Data Intelligence Analysts primary objective is to support the Buying and Planning arm of the company in order to ensure that shrewd inventory purchasing and manufacturing decisions are consistently being made day-in and day-out so as to keep fueling our aggressive top-line growth trajectory while continuing to push the limits of our bottom-line profitability. We are a data-driven, metrics-oriented culture and lean heavily on our Data Intelligence team to be the first line of defense in ensuring that we continue driving the business forward and maximizing opportunities, all while minimizing risk by leveraging deep data analytics.

The ideal candidate for the Data Intelligence Analyst position should measure high on the scale for intellectual curiosity, ingenuity, and results. Our analysts pride themselves on being out of the box thinkers who can collaborate well with a diverse range of input, feedback, and experience to consistently raise the bar and deliver results well above and beyond expectations. We are looking for candidates who are eager to make an impact and willing to go that extra mile. It is in our teams DNA to work hard and play harder.

Position responsibilities and daily tasks:
Build, Extract, and Data Mine a variety of large data sets to identify trends, gaps, and opportunities in order to produce predictive insights and action items to move the business forward
Design and Execute experiments to produce proof of concept in order to help prioritize resource investments, recommend next steps, etc
Examine business practices and Develop predictive tools and reporting to support inventory purchasing, design, and manufacturing decision-making
Design and Implement normalized data models
Develop, Test, and Implement new business metrics
Continually Improve existing processes with automation, new technology, key insights, best practices
Collaborate with analysts, data engineers, project managers, and subject matter experts to deliver impactful solutions and processes for new organizational initiatives
Multi-task a steady flow of incoming and concurrent projects and priorities ranging from high- visibility executive needs to adhoc requests from internal customers
Engage with business leaders, end users, and team members to develop deep understanding of the business and its needs
What does a candidate need to demonstrate to perform this job successfully:
Advanced math skills, with deep knowledge and understanding of numerical and statistical methods
Advanced understanding of relational database concepts
Expertise in SQL while being comfortable in an additional data programming language (such as Python)
Advanced skills with stored procedures, functions, expressions, views
Advanced proficiency with Microsoft Excel, VBA and Userform development
Data-mining skill, and expertise in visualizing and manipulating big datasets
Aptitude for understanding business environment and translating business requirements to technical solutions
Strong problem-solving skills to propose multiple solutions, properly weigh tradeoffs and ROI, identify the best path forward, and exercise good judgment to drive ahead
Comfort interacting and collaborating with people across all levels of the organization while fielding questions as a true Subject Matter Expert
Ability to articulate thoughts and findings both orally and in writing
Agile development mindset, understanding and appreciating the benefit of constant iteration and improvement
Ability to manage multiple projects simultaneously and to keep abreast of current and future technology and trends
Ability to manage time effectively, set priorities, and meet deadlines
Strong attention to detail
Minimum candidate qualifications (years of experience, education level, technical skills, software, etc):
A minimum of 2 to 5 years of quantitative analytical experience with a proven track record of achieving successful results from data-mining large databases
Advanced experience with designing and building spreadsheet models
SQL and PL/SQL
Excel
Bachelor's or Master's degree required",3.4,"EMINENT, INC.
3.4","Cerritos, CA","Williamsville, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1,-1
